location,year,do,bod,fecal_coliform
GANGA AT HARIDWAR D/S,2011,6.7,5.6,1150.0
GANGA AT GARHMUKTESHWAR,2011,8.2,3.4,1162.0
GANGA AT KANNAUJ U/S (RAJGHAT),2011,7.9,4.5,3042.0
"GANGA AT KANNAUJ D/S, U.P",2011,7.8,5.5,3508.0
GANGA AT KANPUR U/S (RANIGHAT),2011,8.6,4.3,6667.0
GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),2011,6.9,8.4,38942.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2011,7.2,4.0,3408.0
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2011,7.1,8.0,40000.0
GANGA AT TRIGHAT (GHAZIPUR),2011,7.3,4.3,13000.0
GANGA AT DAKSHINESHWAR,2011,7.8,4.0,270333.0
GANGA AT HARIDWAR D/S,2012,7.2,5.3,
GANGA AT GARHMUKTESHWAR,2012,8.6,3.4,920.0
GANGA AT KANNAUJ U/S (RAJGHAT),2012,8.6,4.0,4673.0
"GANGA AT KANNAUJ D/S, U.P",2012,8.3,4.8,6045.0
GANGA AT KANPUR U/S (RANIGHAT),2012,8.7,4.3,6245.0
GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),2012,6.6,8.3,23927.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2012,7.1,5.1,3450.0
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2012,7.4,5.0,31667.0
GANGA AT TRIGHAT (GHAZIPUR),2012,7.6,3.7,14167.0
GANGA AT DAKSHINESHWAR,2012,6.1,4.1,493750.0
GANGA AT HARIDWAR D/S,2013,6.5,5.2,
GANGA AT GARHMUKTESHWAR,2013,9.0,2.9,767.0
GANGA AT KANNAUJ U/S (RAJGHAT),2013,8.2,4.0,1210.0
"GANGA AT KANNAUJ D/S, U.P",2013,7.9,4.3,1517.0
GANGA AT KANPUR U/S (RANIGHAT),2013,8.3,3.4,1358.0
GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),2013,6.7,6.8,13567.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2013,8.2,3.6,6475.0
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2013,7.9,4.6,34500.0
GANGA AT TRIGHAT (GHAZIPUR),2013,7.9,3.7,15167.0
GANGA AT DAKSHINESHWAR,2013,5.9,4.1,443333.0
GANGA AT HARIDWAR D/S,2014,5.0,5.2,
GANGA AT GARHMUKTESHWAR,2014,9.1,2.8,725.0
GANGA AT KANNAUJ U/S (RAJGHAT),2014,7.8,2.8,3500.0
"GANGA AT KANNAUJ D/S, U.P",2014,5.8,3.0,4000.0
GANGA AT KANPUR U/S (RANIGHAT),2014,7.8,3.5,4200.0
GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),2014,7.3,7.7,40000.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2014,8.6,3.8,26000.0
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2014,7.7,4.4,34000.0
GANGA AT TRIGHAT (GHAZIPUR),2014,7.7,3.9,14000.0
GANGA AT DAKSHINESHWAR,2014,6.7,4.4,592500.0
GANGA AT HARIDWAR D/S,2015,9.2,2.8,580.0
GANGA AT GARHMUKTESHWAR,2015,7.7,3.0,733.0
GANGA AT KANNAUJ U/S (RAJGHAT),2015,8.4,3.5,2270.0
"GANGA AT KANNAUJ D/S, U.P",2015,7.9,3.7,2930.0
GANGA AT KANPUR U/S (RANIGHAT),2015,8.2,2.9,3267.0
GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),2015,6.5,5.5,20889.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2015,7.9,4.1,21300.0
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2015,7.3,4.9,32500.0
GANGA AT TRIGHAT (GHAZIPUR),2015,7.5,4.2,22000.0
GANGA AT DAKSHINESHWAR,2015,6.6,4.8,182500.0
